"cidade";"ID"
"Marabá (PA)";"E M E F BRASIL NOVO (15550257)"
"Marabá (PA)";"E M E F FAMILIA AGRICOLA DA REGIAO DE MARABA (15551407)"
"Marabá (PA)";"NEI CECILIA MEIRELES (15551458)"
"Marabá (PA)";"NUC EDUC INFANTIL ANTONIO RIBEIRO (15551679)"
"Marabá (PA)";"E M E F ESTRELA DALVA (15554970)"
"Marabá (PA)";"E M E F RIO SORORO (15554996)"
"Marabá (PA)";"E M E F ESCADA ALTA (15555046)"
"Marabá (PA)";"E M E F AGUA AZUL (15555054)"
"Marabá (PA)";"E M E F CEDRINHO (15558797)"
"Marabá (PA)";"EMEF IRMA THEODORA (15558800)"
"Marabá (PA)";"EMEF AYRTON SENNA (15558819)"
"Marabá (PA)";"E M E F PONTA DE PEDRA (15558835)"
"Marabá (PA)";"E M E F MARAVILHA (15558843)"
"Marabá (PA)";"E M E F ULISSES GUIMARAES (15558878)"
"Marabá (PA)";"E M E F SANTA RITA (15558886)"
"Marabá (PA)";"E M E F EDIMAR PEREIRA DA SILVA (15558894)"
"Marabá (PA)";"E M E F OLAVO BILAC (15558908)"
"Marabá (PA)";"E M E F PEQUENO PRINCIPE (15559769)"
"Marabá (PA)";"EMEF RIO TOCANTINS (15559777)"
"Marabá (PA)";"E M E F PROF RAIMUNDO GOMES (15560163)"
"Marabá (PA)";"EMEF ANIZIO TEIXEIRA (15561100)"
"Marabá (PA)";"E M E F PROF PAULO FREIRE (15561259)"
"Marabá (PA)";"E M E F ACY DE JESUS NEVES DE BARROS PEREIRA (15561267)"
"Marabá (PA)";"EMEF PROF� ONEIDE DE SOUZA TAVARES (15561275)"
"Marabá (PA)";"EMEF TEREZA DONATO DE ARAUJO - CEEJA (15561330)"
